"","new_genes","BR1_15","BR1_30","BR1_60","BR1_75","BR3_15","BR3_30","BR3_60","BR3_75","BR4_15","BR4_30","BR4_60","BR4_75","BR5_15","BR5_30","BR5_60","BR5_75","old_genes"
"1906","SACI_RS10010",133.578564118195,123.548841301798,83.0000004103245,100.183206324171,134.805825415753,92.2976397149084,115.757940005267,111.123374508391,139.852949872884,96.8563054279258,149.582717225396,94.7813403866945,138.494934675481,144.866358562542,93.6513010044792,118.68899306056,"Saci_2070"
"1907","SACI_RS10015",8.01471384709173,15.8395950386921,11.5813954060918,3.03585473709609,2.75113929419903,13.5731823110159,20.5791893342696,12.3470416120435,22.8850281610173,6.05351908924536,19.9443622967195,18.9562680773389,25.1808972137239,9.99078334914086,12.6555812168215,16.9555704372229,"Saci_2072"
"1908","SACI_RS10020",336.617981577852,399.157794975041,569.41860746618,85.0039326386906,346.643551069078,390.907650557259,573.644902692766,64.8219684632282,389.045478737294,384.398462167081,483.650785695447,85.3032063480251,402.894355419582,384.645158941923,663.152455761447,50.8667113116687,"Saci_2073"
"1909","SACI_RS10025",26.7157128236391,34.8471090851226,19.3023256768196,45.5378210564414,8.2534178825971,43.434183395251,12.8619933339185,33.9543644331195,10.1711236271188,24.2140763569815,12.4652264354497,14.2172010580042,12.5904486068619,9.99078334914086,20.2489299469144,33.9111408744458,"Saci_2074"
"1910","SACI_RS10030",18.7009989765474,6.33583801547684,9.65116283840982,12.1434189483844,5.50227858839807,8.14390938660957,0,24.6940832240869,15.2566854406782,9.08027863386804,4.98609057417986,9.47813403866945,7.55426916411717,0,17.7178137035501,5.65185681240764,"Saci_2075"
"1911","SACI_RS10035",101.519708729829,133.052598325014,166.000000820649,200.366412648342,112.79671106216,141.161096034566,146.626724006671,185.205624180652,111.882359898307,90.8027863386804,186.978396531745,156.389211638046,103.241678576268,99.9078334914086,182.24036952223,158.251990747414,"Saci_2076"
"1912","SACI_RS10040",58.774568212006,123.548841301798,96.5116283840982,48.5736757935375,82.534178825971,86.8683667905021,51.4479733356741,70.9954892692499,94.0828935508489,72.6422290709444,89.7496303352375,42.6516031740125,128.422575789992,119.88940018969,68.3401385708362,64.9963533426878,"Saci_2077"
"1913","SACI_RS10045",34.7304266707308,22.1754330541689,27.0232559475475,21.2509831596727,33.0136715303884,10.8585458488128,20.5791893342696,37.0411248361304,53.3983990423737,12.1070381784907,37.395679306349,23.6953350966736,30.2170766564687,39.9631333965634,37.9667436504645,14.1296420310191,"Saci_2078"
"1914","SACI_RS10050",13.3578564118195,12.6716760309537,9.65116283840982,9.10756421128828,8.2534178825971,8.14390938660957,12.8619933339185,9.26028120903259,12.7139045338985,6.05351908924536,7.4791358612698,9.47813403866945,17.6266280496067,24.9769583728521,15.1866974601858,11.3037136248153,"Saci_2079"
"1915","SACI_RS10055",16.0294276941835,3.16791900773842,13.5116279737738,30.3585473709609,19.2579750593932,8.14390938660957,15.4343920007022,30.8676040301087,10.1711236271188,15.1337977231134,7.4791358612698,18.9562680773389,5.03617944274478,9.99078334914086,22.7800461902787,22.6074272496306,"Saci_2080"
